           (HOUSE HOLD),old rate ,NEW RATE ,30% off
CURTAIN DOOR NET,120,140,
CURTAIN DOOR,150,180/200,
CURTAIN DOOR WITH LINING ,169-300,200/300,
CURTAIN DOOR LINING Heavy ,200,350,
CURTAIN WINDOW  ,99,140,
CURTAIN WINDOW WITH LINING,130,200,
CURTAIN BELT/ROPE,49,50,
BLIND WINDOW,165,200,
BLANKET SINGLE,299,400,
BLANKET DOUBLE,349,500,
BABY BLANKET,199,250,
QUILT ( रजाई ) SINGLE ,299,400,
QUILT (रजाई ) DOUBLE,349,550,
QUILT (रजाई ) COVER single,140,150,
QUILT (रजाई ) COVER double,170,180,
DUVET SINGLE,199,200,
BED COVER SINGLE,199,200,
BED COVER DOUBLE ,249,250,
DUVET DOUBLE,249,300,
BED SHEET SINGLE,99,100,
BED SHEET DOUBLE,149,150,
BED SPREAD( दरी)SINGLE ,200,200,
BED SPREAD (दरी) Double,280,300,
SOFA COVER SMALL,70,80,
SOFA COVER SMALL,     100/125,100/150,
SOFA COVER SMALL,280,300,
SOFA COVER SMALL,380,450,
SOFA COVER SMALL,110,150,
SOFA COVER SMALL,   189/279,200/250,
SOFA COVER SMALL,70,80,
SOFA COVER SMALL,80,100,
PILLOW COVER LARGE,99,120,
CHAIR COVER,45,50,
CHAIR SEET 1 SIDE,,150,
CHAIR SEET 2 SIDE,150,250,
OFFICE CHAIR ,280,280,
HAND TOWEL small,30,40,
HAND TOWEL MEDIUM,60,80,
HEND TOWEL LARGE,99,100,
BATH ROBE ,149,150,
TABLE CLOTH SMALL,85,100,
TABLE CLOTH LARGE,129,140,
TABLE MATS,99,100,
FOOT MATS,120,100,
CARPET,      30/sqf,35,
BED HEAD सेरहियाना,499,499,
MATTRESS गद्दा single,     50/ sqf,50/ sqf,
MATTRESS गद्दा double,      50/sqf,50/ sqf,
SLEEPING BAG,299,350,
