ITAMS ,old rates,old rates ,NEW RATES ,,organic dry clean 
SHIRT,100,,100,,150
SHIRT SILK,130,,130,,200
T-SHIRTS,100,,100,,150
T-SHIRTS WOOLEN ,150,,150,,250
SHIRT WOOLEN,150,,150,,250
PANT ,99,,100,,150
JEANS,99,110,120,,150
SHORT,70,,70,,100
CAPRI (SHORT),70,,70,,100
LOWER,99,,100,,150
TRACK PANT,110,,120,,150
COAT,220,250,250,,350
COAT 3 PCE,,,550,,750
WEST COAT,199,,200,,250
LONG COAT,299,w     350,350,,500
JACKET FULL SALEEVES,250,,250,,300
JACKET HALF SLEEVES,199,,200,,250
JACKET WITH HOOD,320,,350,,350
HOODIES,180,,200,,250
LEATHER JACKET ,449,555,550,,550
LEATHER JACKET REXINE,399,470,470,,470
SWEAT SHIRT,150,,150,,200
SWEATER FULL,199,,200,,300
SWEATER FULL HEAVY,249,,250,,350
SWEATER HALF,175,,180,,250
SWEATER HALF HEAVY,199,,220,,270
LONG PULLOVER ,199,,220,,250
GENTS SUIT -2 PIECE ,299,,350,,500
KURTA,149,,150,,200
KURTA HEAVY,175,,180,,250
KURTA SILK,175,,180,,250
PAYJAMA,99,,100,,150
SHERWANI LIGHT,399,,450,,550
SHERWANI MEDIUM,499,,550,,700
SHERWANI HEAVY,799,,850,,999
ACHKAN,499,,550,,550
TURBAN(पगड़ी),149,,150,,150
DHOTI,175,,180,,180
SAFARI SUIT SHIRT,175,,180,,200
SAFARI SUIT COAT,220,,250,,350
SAFARI SUIT PANT,99,,100,,150
HAND KERCHIEF,29,,30,,50
TIE/POCKET SQUARE,50,,50,,50
SWIMMING COSTUME,65,,80,,120
MUFFLER,80,,80,,100
UNDER WEAR ,45,,50,,50
VEST,45,,50,,50
