Items ,Old rates ,New rates
SOFT TOYS SMALL,99,120
SOFT TOYS MEDIUM,149,170
SOFT TOYS LARGE,199,250
SOFT TOYS EXTRA LARGE,350,350
HAND BAG / SCHOOL MEDIUM,300,350
HAND BAG /SCHOOL  LARGE,350,400
HAND BAG EXTRA LARGE ,349,450
SUIT CASE SMALL,300,400
SUIT CASE MEDIUM,380,550
SUIT CASE LARGE,400,600
SUIT CASE EXTRA LARGE,500,650
LADIES PURSE SMALL,99,150
LADIES PURSE MEDIUM,149,180
LADIES PURSE LARGE ,169,199
LADIES PURSE LEATHER - S,175,300
LADIES PURSE LEATHER - M,249,350
LADIES PURSE LEATHER - L,299,400
HAT,99,100
CAP,80,100
MUFFLER,70,80
RAIN COAT,145,150
TIE,45,50
BATH ROBE,149,150
BELT,80,100
WALLET,80,80
CAR SEAT COVER,139,150
GLOVES  R/L,60,80
SOCKS  R/L,40,50
FACE MASK,40,40
HAND BAG (झोला),199,200
LAPTOP BAG ,299,350
shoes,,
ANKLE BOOTS ,499,650
CHAPPAL / slip,99,120
BELLE,250,450
LEATHER SHOES ,320,650
BELLE DESIGNER,299,350
SUEDE,449,500
SPORTS SHOES,249,350
