ITEMS ,OLD RATE ,OLD RATE,ORGANIC ,NEW RATES 
SHIRT,80,,150,100
T-SHIRTS,80,,150,100
PANT /TROUSER,99,,150,100
JEANS,99,,150,150
SHORTS,70,,100,70
CAPRI (SHORTS),70,,100,70
JUMPER,180,,200,180
DANGREE,180,,200,180
COAT ,220,,350,250
WEST COAT,199,,250,200
LONG COAT,299,,500,350
TRACK PANTS,110,,150,120
TRACK SUIT,149,,180,150
DUPTTA ,99,,150,100
DUPTTA MEDIUM,110,,200,120
DUPTTA HEAVY,180,,250,180
KURTA SUIT LIGHT,129,,200,175
KURTA SUIT MEDIUM,149,,300,220
KURTA SUIT HEAVY,199,,350,300
SALWAR LIGHT,99,,150,100
SALWAR HEAVY,149,,250,180
LEGGING,99,,150,100
LADIES SUIT 2 PIECE (L),199,,300,230
LADIES SUIT 2 PIECE (M),225,,380,270
LADIES SUIT 2 PIECE (H) WORK ,249/550,,550,300/550
LADIES SUIT 3 PIECE (L),225,,350,250
LADIES SUIT 3 PIECE (M) EMBROIDERY,275/500,,500,300/550
LADIES SUIT 3 PIECE (H) WORK ,349/850,,750,499/850
PLAZO PLAIN,99,,150,100
PLAZO MEDIUM,149,,170,150
PLAZO HEAVY,180,,250,200
SAREE PLAIN,225,,350,250
SAREE MEDIUM / SILK,249,,480,300
SAREE HEAVY,399,,550,400
SAREE CHARK,100,,150,100
BLOUSE,80,,100,80
BLOUSE MEDIUM/ SILK ,99,,150,130
BLOUSE HEAVY,149,199/249,300,200/250
CHOLI,149,,200,150
PETICOT,90,,150,100
LEHNGA LIGHT BABY,399,,550,400
LEHNGA MEDIUM,550,,750,550
LEHNGA HEAVY,799,,1200,800
EXTRA HEAVY LEHNGA ,1400,,1599,1400
TOP PLAIN,99,,150,100
TOP MEDIUM,110,129,200,120
TOP HEAVY,150,299,350,200
TOP WOOLEN,180,,250,200
SKIRT SHORTS PLAIN ,80,,150,100
SKIRT SHORTS MEDIUM ,120,,200,150
SKIRT SHORTS HEAVY,149,,250,200
SKIRT LONG PLAIN,149,,200,180
SKIRT LONG MEDIUM,199,,250,230
SKIRT LONG HEAVY,220,,350,250
SKIRT LONG WORK ,550,,699,550
DRESS (फ्रॉक सटू ) L,399,,500,400
DRESS (फ्रॉक सटू ) M,800,,999,800
DRESS (फ्रॉक सटू ) H,1200,,1599,1200
WEDDING GOWN,849,,999,850
STOLE,80,,100,80
  STOLE HEAVY ,125,,200,130
SHAWL PLAIN,175,,200,180
SHAWL MEDIUM,245,,250,250
SHAWL HEAVY ,299,,350,300
SWEAT SHIRT,150,,200,150
HOODIES,175,,250,200
SWEATER HALF,175,,250,180
SWEATER HALF HEAVY ,199,,270,250
SWEATER FULL,199,,300,200
SWEATER FULL HEAVY ,249,,350,250
JACKET FULL SLEEVE,299,,350,300
JACKET HALF ,199,,250,200
JACKET WITH HOOD,320,,350,350
LEATHER JACKET,449,,550,550
LONG PULLOVER,199,,300,200
WESTERN DRESS LIGHT,249,,350,250
WESTERN DRESS HEAVY,299,,550,380
SCARF,99,,150,100
STOCKING,99,,150,100
BRASSIERES ,55,,100,60
